Date,Open,High,Low,Close,Adj_Close,Volume
10-12-2019,1572.050049,1573.599976,1554.150024,1561.949951,1556.107056,4650906
11-12-2019,1555.599976,1574.5,1550.599976,1562.400024,1556.55542,5652698
12-12-2019,1570.25,1573.849976,1556.650024,1568.199951,1562.333618,4720977
13-12-2019,1580,1590,1572.400024,1582.900024,1576.97876,5791522
16-12-2019,1592,1593.900024,1564.349976,1566.599976,1560.739624,5436951
17-12-2019,1566.75,1579,1555.550049,1562.699951,1556.854248,9291724
18-12-2019,1563,1580,1562,1575.849976,1569.955078,6739582
19-12-2019,1573.699951,1614.900024,1571.800049,1609.949951,1603.92749,9375484
20-12-2019,1615,1617.550049,1596.099976,1599.099976,1593.118042,9724619
23-12-2019,1560.099976,1577.550049,1557.800049,1571.400024,1565.521729,11478429
24-12-2019,1568.900024,1572.050049,1542.5,1546.449951,1540.665039,8251144
26-12-2019,1541.650024,1552.949951,1510.150024,1515.400024,1509.731201,13605737
27-12-2019,1527,1546.199951,1521.300049,1542.349976,1536.580322,8081591
30-12-2019,1545.949951,1547.650024,1528.050049,1544.199951,1538.423462,7828402
31-12-2019,1542,1543.699951,1508.050049,1514.050049,1508.386353,10150467
01-01-2020,1518,1527.099976,1505.5,1509.599976,1503.952881,6402372
02-01-2020,1512,1540.949951,1512,1535.300049,1529.556763,8096561
03-01-2020,1533,1541.650024,1523,1537.150024,1531.399902,9593498
06-01-2020,1520,1527.900024,1498,1501.5,1495.883179,11209343
07-01-2020,1519,1534.5,1513.5,1524.599976,1518.896729,7627191
08-01-2020,1515,1534.449951,1510,1513.150024,1507.489624,7336561
09-01-2020,1538.599976,1550,1531.25,1548,1542.209229,6849606
10-01-2020,1551.900024,1557.949951,1539.650024,1547.650024,1541.860596,5704686
13-01-2020,1545.050049,1558.699951,1538.400024,1543.699951,1537.925293,8358090
14-01-2020,1540,1550,1521.849976,1529.400024,1523.678833,7230788
15-01-2020,1535.849976,1539.900024,1518.25,1523.849976,1518.149536,7231393
16-01-2020,1529,1543.349976,1528,1537.900024,1532.147095,5873662
17-01-2020,1553.5,1584.949951,1553.199951,1581,1575.085815,13469708
20-01-2020,1609,1609,1526.400024,1532.349976,1526.617798,14878868
21-01-2020,1528.599976,1545.849976,1522,1533.900024,1528.161987,8650831
22-01-2020,1544,1546.75,1531.099976,1533.349976,1527.614014,4719245
23-01-2020,1536.5,1541.949951,1520.699951,1526.849976,1521.138306,5142088
24-01-2020,1527,1536.349976,1518.550049,1521.550049,1515.858276,6687633
27-01-2020,1514.900024,1524.449951,1505,1506.550049,1500.914307,6120429
28-01-2020,1508.599976,1510,1463.599976,1471.75,1466.244507,11215313
29-01-2020,1474.050049,1494.400024,1464.050049,1479.849976,1474.314209,11313297
30-01-2020,1479,1479.699951,1440,1443.75,1438.349243,10241756
31-01-2020,1453,1453.25,1407.199951,1411.650024,1406.369385,15886673
03-02-2020,1369.900024,1399.949951,1363.050049,1385.5,1380.317139,14040626
04-02-2020,1400,1432.5,1397.800049,1426.400024,1421.064209,11604666
05-02-2020,1434.900024,1452.800049,1430.300049,1448.5,1443.081421,8444823
06-02-2020,1454.099976,1467,1440.099976,1457.800049,1452.34668,7103715
07-02-2020,1451,1452.349976,1428.300049,1433.650024,1428.286987,5581641
